,Year,Week,SMN,SMT,VCI,TCI,VHI,Area
0,1982,1.0,0.053,260.31,45.01,39.46,42.23,Cherkasy
1,1982,2.0,0.054,262.29,46.83,31.75,39.29,Cherkasy
2,1982,3.0,0.055,263.82,48.13,27.24,37.68,Cherkasy
3,1982,4.0,0.053,265.33,46.09,23.91,35.0,Cherkasy
4,1982,5.0,0.05,265.66,41.46,26.65,34.06,Cherkasy
5,1982,6.0,0.048,266.55,36.56,29.46,33.01,Cherkasy
6,1982,7.0,0.048,267.84,32.17,31.14,31.65,Cherkasy
7,1982,8.0,0.05,269.3,30.3,32.5,31.4,Cherkasy
8,1982,9.0,0.052,270.75,28.23,35.22,31.73,Cherkasy
9,1982,10.0,0.056,272.73,25.25,37.63,31.44,Cherkasy
10,1982,11.0,0.069,275.46,26.81,34.79,30.8,Cherkasy
11,1982,12.0,0.085,278.05,27.87,35.91,31.89,Cherkasy
12,1982,13.0,0.096,279.89,26.45,40.3,33.37,Cherkasy
13,1982,14.0,0.109,281.55,22.93,45.47,34.2,Cherkasy
14,1982,15.0,0.12,282.57,16.15,59.42,37.78,Cherkasy
15,1982,16.0,0.145,284.04,13.92,73.7,43.81,Cherkasy
16,1982,17.0,0.18,286.05,15.91,83.78,49.85,Cherkasy
17,1982,18.0,0.236,288.73,25.98,83.95,54.97,Cherkasy
18,1982,19.0,0.292,291.42,34.53,77.2,55.86,Cherkasy
19,1982,20.0,0.336,293.07,38.39,70.79,54.59,Cherkasy
20,1982,21.0,0.366,293.62,38.62,71.8,55.21,Cherkasy
21,1982,22.0,0.383,293.55,34.9,75.39,55.14,Cherkasy
22,1982,23.0,0.391,293.47,29.29,77.99,53.64,Cherkasy
23,1982,24.0,0.395,293.51,27.5,80.68,54.09,Cherkasy
24,1982,25.0,0.396,293.26,27.46,86.21,56.84,Cherkasy
25,1982,26.0,0.395,293.16,27.71,89.14,58.43,Cherkasy
26,1982,27.0,0.394,293.5,29.53,88.81,59.17,Cherkasy
27,1982,28.0,0.392,293.83,34.04,88.18,61.11,Cherkasy
28,1982,29.0,0.393,294.17,39.85,87.0,63.42,Cherkasy
29,1982,30.0,0.388,294.43,43.47,85.68,64.58,Cherkasy
30,1982,31.0,0.383,294.83,44.62,81.04,62.83,Cherkasy
31,1982,32.0,0.378,295.3,46.78,73.25,60.01,Cherkasy
32,1982,33.0,0.374,295.43,50.98,66.04,58.51,Cherkasy
33,1982,34.0,0.368,295.3,54.79,59.39,57.09,Cherkasy
34,1982,35.0,0.362,294.95,60.47,50.47,55.47,Cherkasy
35,1982,36.0,0.352,294.4,65.8,40.42,53.11,Cherkasy
36,1982,37.0,0.332,293.49,67.37,32.84,50.1,Cherkasy
37,1982,38.0,0.313,292.14,68.18,30.2,49.19,Cherkasy
38,1982,39.0,0.287,290.29,64.53,31.4,47.97,Cherkasy
39,1982,40.0,0.25,287.91,54.93,35.92,45.43,Cherkasy
40,1982,41.0,0.211,285.34,44.69,37.53,41.11,Cherkasy
41,1982,42.0,0.174,282.92,36.32,36.38,36.35,Cherkasy
42,1982,43.0,0.147,280.78,35.06,34.47,34.76,Cherkasy
43,1982,44.0,0.126,279.06,35.39,22.51,28.95,Cherkasy
44,1982,45.0,0.105,277.36,32.35,16.01,24.18,Cherkasy
45,1982,46.0,0.088,275.31,32.21,15.45,23.83,Cherkasy
46,1982,47.0,0.072,272.39,29.41,21.78,25.6,Cherkasy
47,1982,48.0,0.061,269.21,28.24,31.16,29.7,Cherkasy
48,1982,49.0,0.052,266.27,25.02,38.86,31.94,Cherkasy
49,1982,50.0,0.044,263.47,22.98,43.6,33.29,Cherkasy
50,1982,51.0,0.044,261.27,28.58,44.64,36.61,Cherkasy
51,1982,52.0,0.044,260.47,31.78,42.52,37.15,Cherkasy
52,1983,1.0,0.042,260.46,32.51,38.52,35.52,Cherkasy
53,1983,2.0,0.041,260.74,32.31,36.91,34.61,Cherkasy
54,1983,3.0,0.042,260.69,34.9,37.82,36.36,Cherkasy
